STOD	NAFN	TEG	BREIDD	LENGD	BREIDD_Y	LENGD_X	H_STOD	EIG	UPPHAF	ENDIR
1483	Miðdalsheiði	sj	64°06.267'	21°32.688'	64.10445	21.5448	240.0	Veðurstofa Íslands	2001	2011
1485	Bláfjöll úrkomustöð	sj	63°58.799'	21°39.338'	63.97998	21.65563	500.0	Veðurstofa Íslands	1997	(null)
1486	Bláfjöll	sj	63°58.140'	21°39.966'	63.969	21.6661	530.0	Veðurstofa Íslands	1997	(null)
1487	Bláfjallaskáli	sj	63°58.986'	21°38.979'	63.9831	21.64965	530.0	Veðurstofa Íslands	2001	(null)
1490	Hellisskarð	sj	64°02.000'	21°21.992'	64.03333	21.36653	380.0	Veðurstofa Íslands	2001	(null)
1493	Ölkelduháls	sj	64°03.317'	21°15.190'	64.05528	21.25317	360.0	Veðurstofa Íslands	2001	(null)
1494	Kolviðarhóll I	sj	64°02.158'	21°24.028'	64.03597	21.40047	270.0	Veðurstofa Íslands	2003	2004
1495	Kolviðarhóll II	sj	64°02.340'	21°23.953'	64.039	21.39922	270.0	Veðurstofa Íslands	2003	2004
1496	Skarðsmýrarfjall	sj	64°03.401'	21°20.816'	64.05668	21.34693	583.5	Veðurstofa Íslands	2006	(null)
1570	Akranes - Akraneshöfn	sj	64°19'	22°05'	64.317	22.083	5.0	Akraneshöfn	1997	2007
1578	Skrauthólar	sj	64°13.909'	21°48.278'	64.23182	21.80463	20.0	Veðurstofa Íslands	2001	(null)
1590	Skálafell	sj	64°14.429'	21°27.798'	64.24048	21.4633	771.0	Veðurstofa Íslands	1995	(null)
1596	Þingvellir	sj	64°16.842'	21°05.252'	64.2807	21.08753	110.0	Veðurstofa Íslands	1996	(null)
1672	Ás í Melasveit	sj	64°23.764'	22°00.481'	64.39607	22.00802	40.0	Veðurstofa Íslands	2001	2006
1673	Hafnarmelar	sj	64°27.884'	21°57.766'	64.46473	21.96277	20.0	Veðurstofa Íslands	1998	2022
1678	Grundartangi	sj	64°21'	21°47'	64.35	21.783	5.0	Grundartangahöfn	1995	2009
1679	Skarðsheiði Miðfitjahóll	sj	64°29.411'	21°45.728'	64.49018	21.762133	471.3	Landsnet	2009	(null)
1685	Þyrill	sj	64°23.264'	21°25.013'	64.38773	21.41688	61.5	Veðurstofa Íslands	2003	(null)
1689	Botnsheiði	sj	64°27.177'	21°24.205'	64.45295	21.40342	500.5	Landsnet	2001	(null)
1777	Hvanneyri (búveðurstöð)	sj	64°33.697'	21°46.479'	64.5616	21.7746	11.0	Veðurstofa Íslands	2022	(null)
1779	Hvanneyri	sj	64°33,732'	21°45,896'	64.5622	21.764933	12.4	Veðurstofa Íslands	1997	(null)
1781	Stafholtsey	sj	64°38.581'	21°35.358'	64.64302	21.5893	14.0	Veðurstofa Íslands	2018	(null)
1868	Fíflholt á Mýrum	sj	64°41.659'	22°08.840'	64.69432	22.14733	55.7	Veðurstofa Íslands	2006	(null)
1881	Litla-Skarð	sj	64°43.608'	21°37.781'	64.7268	21.62968	115.0	Veðurstofa Íslands	2000	2022
1919	Gufuskálar	sj	64°54.247'	23°55.896'	64.90412	23.9316	7.0	Veðurstofa Íslands	1994	(null)
1924	Ólafsvík	sj	64°53.741'	23°42.974'	64.895676	23.71624	19.0	Veðurstofa Íslands - Ofanflóð	2000	(null)
1925	Ólafsvíkurhöfn	sj	64°54'	23°43'	64.9	23.717	4.7	Ólafsvíkurhöfn	1998	2008
1936	Bláfeldur	sj	64°50.358'	23°18.107'	64.8393	23.301783	17.7	Veðurstofa Íslands	2003	(null)
1938	Grundarfjörður	sj	64°55.278'	23°15.076'	64.9213	23.25127	17.4	Veðurstofa Íslands	2003	(null)
2050	Stykkishólmur	sj	65°04.302'	22°43.942'	65.0717	22.73237	12.4	Veðurstofa Íslands	2002	(null)
2175	Ásgarður	sj	65°13.782'	21°45.256'	65.2297	21.75427	47.9	Veðurstofa Íslands	2003	(null)
2197	Reykir í Hrútafirði	sj	65°15.257'	21°05.867'	65.25428	21.09778	9.8	Veðurstofa Íslands	2003	(null)
2266	Reykhólar	sj	65°26.259'	22°12.337'	65.43765	22.20562	6.4	Veðurstofa Íslands - Ofanflóð	2004	(null)
2304	Bjargtangar	sj	65°30.174'	24°31.870'	65.5029	24.53117	35.0	Vegagerðin	1994	(null)
2315	Lambavatn	sj	65°29.543'	24°05.551'	65.49238	24.09252	4.0	Veðurstofa Íslands	2006	(null)
2318	Patrekshöfn	sj	65°36'	24°00'	65.6	24.0	4.0	Patreksfjarðarhöfn	1995	2007
2319	Patreksfjörður	sj	65°35.704'	23°58.490'	65.59507	23.97483	43.0	Veðurstofa Íslands - Ofanflóð	1996	(null)
2320	Patreksfjörður - Brellur	sj	65°36.285	23°59.419	65.60475	23.99032	350.0	Veðurstofa Íslands - Ofanflóð	2014	(null)
2323	Tálknafjörður	sj	65°37.656'	23°49.814'	65.6276	23.83023	8.5	Veðurstofa Íslands - Ofanflóð	2008	(null)
2370	Arnkatla	sj	65°33.171'	21°49.543'	65.55285	21.825718	377.0	Orkubú Vestfjarða	2013	2022
2390	Ennishöfði	sj	65°34.691'	21°19.328'	65.57818	21.32213	282.0	Orkubú Vestfjarða	2015	2022
2428	Bíldudalur	sj	65°40.765'	23°36.730'	65.67942	23.61217	16.0	Veðurstofa Íslands - Ofanflóð	1998	(null)
2454	Þingmannaheiði	sj	65°39.418'	23°00.171'	65.65697	23.00285	510.0	Landsvirkjun	2000	2004
2480	Bjarnarfjarðarháls	sj	65°43.703'	21°34.305'	65.728386	21.57175	238.5	Orkubú Vestfjarða	2013	2024
2481	Hólmavík	sj	65°41.239'	21°40.878'	65.68732	21.6813	10.0	Veðurstofa Íslands	2007	(null)
2525	Þingeyrarflugvöllur	sj	65°52.002'	23°32.009'	65.87	23.5483	19.8	Flugmálastjórn Íslands	2006	2006
2530	Hólar í Dýrafirði	sj	65°52.117'	23°33.467'	65.86861	23.55778	16.0	Veðurstofa Íslands	2020	(null)
2630	Suðureyri	sj	66°07.504'	23°30.464'	66.12507	23.5077	2.0	Veðurstofa Íslands - Ofanflóð	2021	(null)
2631	Flateyri	sj	66°02.987'	23°30.603'	66.04978	23.51005	3.0	Veðurstofa Íslands - Ofanflóð	1997	(null)
2636	Þverfjall	sj	66°02.666'	23°18.447'	66.04443	23.30745	741.0	Veðurstofa Íslands - Ofanflóð	1990	(null)
2640	Seljalandsdalur	sj	66°04.557'	23°11.920'	66.07595	23.19867	550.0	Veðurstofa Íslands - Ofanflóð	1995	(null)
2641	Seljalandsdalur - skíðaskáli	sj	66°04.124'	23°12.618'	66.06873	23.2103	283.0	Veðurstofa Íslands - Ofanflóð	2005	(null)
2642	Ísafjörður	sj	66°03.578'	23°10.196'	66.05963	23.16993	2.2	Veðurstofa Íslands - Ofanflóð	1998	(null)
2643	Hnífsdalur	sj	66°06.395'	23°06.544'	66.10658	23.10907	10.0	ISAVIA	2018	2022
2644	Ísafjörður - Tungudalur	sj	66°03.616'	23°11.068'	66.060265	23.18447	4.0	Veðurstofa Íslands - Ofanflóð	2023	(null)
2646	Súðavík	sj	66°02.556'	22°59.163'	66.0426	22.98605	10.9	Veðurstofa Íslands - Ofanflóð	1995	(null)
2655	Æðey	sj	66°06.039'	22°39.562'	66.10065	22.65937	21.0	Veðurstofa Íslands	2012	(null)
2691	Litla-Ávík	sj	66°01.266'	21°25.483'	66.02111	21.42471	8.1	Veðurstofa Íslands	2022	(null)
2692	Gjögurflugvöllur	sj	65°59.705'	21°19.822'	65.99508	21.33037	28.1	Veðurstofa Íslands	1994	(null)
2693	Gjögur	sj	65°59.806'	21°19.668'	65.996765	21.3278	25.6	Veðurstofa Íslands - Ofanflóð	2016	(null)
2738	Bolungarvík	sj	66°09.661'	23°15.230'	66.16102	23.25383	27.0	Veðurstofa Íslands - Ofanflóð	1999	(null)
2841	Sléttunes Jökulfjörðum	sj	66°17.772'	22°57.845'	66.2962	22.96401	0.5	Veðurstofa Íslands	2013	(null)
2862	Hornbjargsviti	sj	66°24.639'	22°22.734'	66.41065	22.3789	22.0	Vegagerðin	1995	(null)
2941	Straumnesviti	sj	66°25.831'	23°08.072'	66.43052	23.134533	7.0	Vegagerðin	1995	(null)
3007	Austurárdalsháls	sj	65°07.380'	20°41.767'	65.123	20.69612	383.0	Landsnet	2009	(null)
3054	Sáta	sj	65°03.767'	18°50.300'	65.06278	18.83833	785.0	Veðurstofa Íslands	1992	(null)
3103	Haugur	sj	65°11.034'	20°47.103'	65.1839	20.78505	118.3	Veðurstofa Íslands	2003	(null)
3122	Grímstunguheiði	sj	65°13.347'	20°03.374'	65.22245	20.05623	509.0	Landsnet	2009	2016
3128	Auðkúluheiði Friðmundarvötn	sj	65°18.833'	19°50.835'	65.31388	19.84725	490.0	Landsvirkjun	2011	2014
3223	Brúsastaðir	sj	65°22.702'	20°14.838'	65.37837	20.2473	20.0	Veðurstofa Íslands	2003	(null)
3225	Kolka	sj	65°13.842'	19°43.062'	65.2307	19.7177	506.0	Landsvirkjun	1993	(null)
3242	Nautabú	sj	65°27.495'	19°22.147'	65.45825	19.36912	111.5	Veðurstofa Íslands	2004	(null)
3292	Svartárkot	sj	65°20.514'	17°14.789'	65.3419	17.246487	403.4	Landsnet	2003	(null)
3317	Blönduós	sj	65°39.480'	20°17.551'	65.658	20.29252	8.0	Veðurstofa Íslands	2003	(null)
3371	Torfur	sj	65°30.058'	18°09.696'	65.50097	18.1616	25.79	Veðurstofa Íslands	2006	(null)
3380	Reykir í Fnjóskadal	sj	65°35.107'	17°46.000'	65.58512	17.76667	211.4	Veðurstofa Íslands	2000	(null)
3433	Sauðárkrókur flugvöllur	sj	65°43.556'	19°34.421'	65.72593	19.57368	0.5	Veðurstofa Íslands	2007	(null)
3463	Möðruvellir	sj	65°46.239'	18°15.080'	65.77065	18.25133	15.0	Veðurstofa Íslands	1996	(null)
3470	Akureyri lögreglustöð	sj	65°41.135'	18°06.014'	65.68558	18.10023	23.0	Veðurstofa Íslands	2004	(null)
3471	Akureyri - Krossanesbraut	sj	65°41.767'	18°06.679'	65.69612	18.11132	31.0	Veðurstofa Íslands	2005	(null)
3474	Vaðlaheiði	sj	65°44.899'	18°00.127'	65.748314	18.00211	580.0	Veðurstofa Íslands - Ofanflóð	1999	(null)
3477	Végeirsstaðir í Fnjóskadal	sj	65°49.018'	17°53.142'	65.81697	17.8857	130.3	Veðurstofa Íslands	2001	(null)
3490	Gæsafjöll	sj	65°47.240'	17°00.209'	65.78733	17.003483	390.0	Landsnet	2010	2021
3585	Björg í Kinn	sj	65°56.723'	17°35.511'	65.9454	17.59185	4.0	Veðurstofa Íslands - Ofanflóð	2022	(null)
3591	Staðarhóll	sj	65°49.259'	17°20.675'	65.820984	17.344584	40.0	Veðurstofa Íslands	2012	(null)
3595	Sóleyjarflatamelar	sj	65°53.484'	17°13.607'	65.8914	17.22678	350.0	Landsnet	2006	2015
3596	Rauðhálsar	sj	65°51.360'	17°12.092'	65.856	17.20153	390.0	Landsnet	2015	2022
3658	Ólafsfjörður	sj	66°04.431'	18°39.935'	66.07385	18.66558	5.0	Veðurstofa Íslands - Ofanflóð	1997	(null)
3662	Dalvík	sj	65°58.437'	18°31.540'	65.97395	18.52567	4.0	Dalvíkurhöfn	1995	2008
3691	Húsavíkurhöfn	sj	66°02.704'	17°21.248'	66.04507	17.35413	2.5	Húsavíkurhöfn	1997	2008
3692	Bakkahöfði við Húsavík	sj	66°04.608'	17°21.654'	66.0768	17.3609	14.9	Veðurstofa Íslands	2002	2010
3693	Gvendarbás við Húsavík	sj	66°01.417'	17°22.767'	66.02362	17.37945	15.9	Veðurstofa Íslands	2002	2005
3694	Húsavíkurfjall	sj	66°03.236'	17°19.153'	66.05393	17.31922	194.0	Veðurstofa Íslands	2002	2005
3695	Húsavík Héðinshöfði	sj	66°04.826'	17°19.299'	66.08043	17.32165	30.0	Veðurstofa Íslands	2007	2012
3696	Húsavík	sj	66°02.509'	17°19.685'	66.04182	17.32808	28.2	Veðurstofa Íslands	2002	(null)
3720	Skagatá	sj	66°07.153'	20°05.932'	66.11922	20.09887	9.0	Vegagerðin	1996	(null)
3751	Sauðanesviti	sj	66°11.070'	18°57.202'	66.1845	18.95337	35.0	Veðurstofa Íslands	2020	(null)
3752	Siglufjörður	sj	66°08.097'	18°55.139'	66.13495	18.91898	6.0	Veðurstofa Íslands - Ofanflóð	1995	(null)
3754	Siglunes	sj	66°11.626'	18°50.585'	66.19377	18.84308	8.0	Veðurstofa Íslands	1995	2021
3779	Flatey á Skjálfanda	sj	66°09.789'	17°50.447'	66.16315	17.84078	22.0	Vegagerðin	2005	(null)
3797	Mánárbakki	sj	66°11.964'	17°06.165'	66.1994	17.10275	17.0	Veðurstofa Íslands	2005	(null)
3975	Grímsey	sj	66°32'	18°01'	66.533	18.017	16.0	Veðurstofa Íslands	1994	2005
3976	Grímsey	sj	66°32.627'	18°01.004'	66.54378	18.01673	19.0	Veðurstofa Íslands	2005	(null)
4019	Upptyppingar	sj	65°03.639'	16°12.624'	65.06065	16.2104	563.0	Veðurstofa Íslands	1999	(null)
4060	Hallormsstaður	sj	65°05.635'	14°44.693'	65.09392	14.744883	60.0	Veðurstofa Íslands	1992	(null)
4180	Seyðisfjörður - Vestdalur	sj	65°16.882'	14°00.025'	65.28137	14.00042	92.4	Veðurstofa Íslands - Ofanflóð	1995	(null)
4181	Seyðisfjörður - Kálfabotnar	sj	65°15.904'	14°01.973'	65.26507	14.03288	400.0	Veðurstofa Íslands - Ofanflóð	2005	(null)
4182	Seyðisfjörður	sj	65°15.292'	14°00.387'	65.25487	14.00645	37.0	Veðurstofa Íslands - Ofanflóð	2014	(null)
4183	Seyðisfjörður - Innri-Botnar	sj	65°15.572'	13°59.370'	65.25953	13.9895	136.0	Veðurstofa Íslands - Ofanflóð	2021	(null)
4193	Dalatangi	sj	65°16.089'	13°34.498'	65.26808	13.575101	10.0	Veðurstofa Íslands	1994	(null)
4271	Egilsstaðaflugvöllur	sj	65°16.571'	14°24.276'	65.27618	14.4046	23.5	Veðurstofa Íslands	1998	(null)
4275	Gagnheiði	sj	65°13.408'	14°15.533'	65.22347	14.25888	949.0	Veðurstofa Íslands - Ofanflóð	1993	(null)
4276	Gagnheiði II	sj	65°13.405'	14°15.537'	65.22341	14.258948	949.0	Veðurstofa Íslands	2022	(null)
4300	Mývatn	sj	65°37.160'	16°58.610'	65.61933	16.976837	282.3	Veðurstofa Íslands	1996	(null)
4302	Reykjahlíð	sj	65°38.503'	16°53.505'	65.64171	16.89174	285.0	Landsvirkjun	2013	2013
4303	Bjarnarflag	sj	65°37.785'	16°50.224'	65.62975	16.83707	347.0	Landsvirkjun	2004	2012
4304	Vogar	sj	65°37.491'	16°55.341'	65.62486	16.92236	280.0	Landsvirkjun	2013	2013
4323	Grímsstaðir á Fjöllum	sj	65°38.535'	16°07.702'	65.64225	16.12837	382.3	Veðurstofa Íslands	2012	(null)
4374	Húsey	sj	65°38.012'	14°16.203'	65.63	14.27	(null)	Landsvirkjun	2013	2013
4380	Bakkagerði	sj	65°31.412'	13°49.004'	65.52352	13.816731	28.0	Veðurstofa Íslands - Ofanflóð	2017	(null)
4404	Krókóttuvötn Reykjahlíðarheiði	sj	65°42.609'	16°52.713'	65.71015	16.87855	560.0	Landsnet	2008	2010
4406	Krafla	sj	65°41.670'	16°46.490'	65.6945	16.77483	455.0	Landsvirkjun	2011	(null)
4455	Skjaldþingsstaðir	sj	65°42.213'	14°49.247'	65.70355	14.82078	34.8	Veðurstofa Íslands	2006	(null)
4472	Bjarnarey	sj	65°47.140'	14°18.490'	65.78567	14.308167	20.0	Vegagerðin	1996	(null)
4500	Þeistareykir	sj	65°54.662'	16°58.574'	65.91103	16.97623	311.0	Landsvirkjun	2005	(null)
4560	Sandvíkurheiði LV	sj	65°56.339'	14°50.300'	65.93	14.84	(null)	Landsvirkjun	2013	2013
4614	Ásbyrgi	sj	66°01.797'	16°28.998'	66.02995	16.4833	31.5	Veðurstofa Íslands	1998	(null)
4652	Miðfjarðarnes	sj	66°04.009'	15°04.796'	66.06682	15.079933	25.0	Veðurstofa Íslands	2008	(null)
4828	Raufarhöfn	sj	66°27.360'	15°57.162'	66.456	15.9527	4.0	Veðurstofa Íslands	2005	(null)
4830	Möðrudalur	sj	65°22.522'	15°53.000'	65.37537	15.88333	452.0	Veðurstofa Íslands	2003	(null)
4832	Landsendi	sj	66°24.049'	15°48.399'	66.4	15.81	(null)	Landsvirkjun	2013	2013
4867	Fontur	sj	66°22.701'	14°31.955'	66.37835	14.53258	43.0	Veðurstofa Íslands	1994	(null)
4912	Rauðinúpur	sj	66°30.492'	16°32.663'	66.5082	16.54438	59.3	Veðurstofa Íslands	1997	(null)
4921	Rif á Melrakkasléttu	sj	66°30.687'	16°08.644'	66.51145	16.144068	10.0	Rannsóknastöðin RIF	2018	(null)
5208	Leirur á Skeiðarársandi	sj	63°49.470'	16°41.240'	63.82	16.69	(null)	Landsvirkjun	2013	2013
5210	Ingólfshöfði	sj	63°48.170'	16°39.054'	63.80283	16.6509	57.2	Vegagerðin	2004	(null)
5309	Fagurhólsmýri	sj	63°52.460'	16°38.186'	63.87433	16.63643	9.3	Veðurstofa Íslands	2003	(null)
5316	Kvísker	sj	63°58.661'	16°26.193'	63.97768	16.43655	30.0	Veðurstofa Íslands	2008	(null)
5544	Höfn í Hornafirði	sj	64°16.145'	15°12.811'	64.26908	15.21352	5.0	Veðurstofa Íslands	2007	(null)
5548	Akurnes	sj	64°18.605'	15°13.255'	64.31008	15.22092	17.0	Veðurstofa Íslands	2003	2007
5552	Hvanney	sj	64°13.914'	15°12.015'	64.2319	15.20025	4.0	Hornafjörður	1995	2008
5777	Papey	sj	64°35.469'	14°10.481'	64.59115	14.174688	49.0	Vegagerðin	1998	(null)
5825	Brúaröræfi	sj	64°49.686'	16°05.380'	64.8281	16.08967	748.2	Landsvirkjun	2006	(null)
5847	Innri Sauðá	sj	64°46.178'	15°15.262'	64.81611	15.322778	750.0	Landsvirkjun	2014	(null)
5853	Sauðahnjúkur	sj	64°46.333'	15°03.100'	64.77222	15.05167	855.0	Orkustofnun	1992	2004
5860	Líkárvatn	sj	64°47.887'	14°47.393'	64.79812	14.78988	590.0	Orkustofnun	1999	2009
5872	Teigarhorn	sj	64°40.540'	14°20.663'	64.67567	14.34438	20.7	Veðurstofa Íslands	2001	(null)
5885	Kambanes	sj	64°48.074'	13°50.538'	64.80123	13.8423	29.8	Veðurstofa Íslands	1994	(null)
5932	Brúarjökull B10	sj	64°43.680'	16°06.704'	64.728	16.11173	845.0	Landsvirkjun	2005	(null)
5933	Kárahnjúkar	sj	64°55.702'	15°46.627'	64.92837	15.77712	639.0	Landsvirkjun	1998	(null)
5940	Brú á Jökuldal	sj	65°06.514'	15°31.784'	65.10857	15.52973	373.0	Veðurstofa Íslands	1998	(null)
5943	Eyjabakkar	sj	64°48.905'	15°25.408'	64.81508	15.42347	655.32	Landsvirkjun	1997	(null)
5960	Hallormsstaðaháls	sj	65°04.772'	14°40.485'	65.07953	14.67475	573.11	Landsnet	1996	(null)
5965	Þórudalur	sj	65°02.182'	14°34.266'	65.03637	14.5711	300.0	Landsnet	2017	(null)
5968	Brúðardalur	sj	64°59.743'	14°30.638'	64.99572	14.51063	300.0	Landsnet	2006	2017
5969	Þórdalsheiði	sj	65°00.055'	14°27.749'	65.00092	14.46248	500.0	Landsnet	2006	2021
5970	Hallsteinsdalsvarp	sj	65°01.090'	14°27.209'	65.01817	14.45348	634.0	Landsnet	2007	(null)
5975	Kollaleira í Reyðarfirði	sj	65°02.203'	14°14.373'	65.03671	14.23955	44.0	Veðurstofa Íslands	2000	(null)
5977	Ljósá í Reyðarfirði	sj	65°02.595'	14°09.737'	65.04325	14.16228	281.0	Veðurstofa Íslands	2000	2004
5981	Eskifjörður	sj	65°04.580'	14°02.217'	65.07633	14.03695	2.0	Veðurstofa Íslands - Ofanflóð	1998	(null)
5982	Fáskrúðsfjörður Ljósaland	sj	64°56.234'	14°02.442'	64.93723	14.0407	8.0	Veðurstofa Íslands - Ofanflóð	2007	(null)
5988	Vattarnes	sj	64°56.221'	13°41.076'	64.93702	13.6846	5.3	Veðurstofa Íslands	2000	(null)
5990	Neskaupstaður	sj	65°09.016'	13°40.165'	65.15027	13.66942	49.7	Veðurstofa Íslands - Ofanflóð	1999	(null)
5992	Neskaupstaður - Drangagil	sj	65°09.706'	13°41.282'	65.16177	13.68803	559.0	Veðurstofa Íslands - Ofanflóð	2005	(null)
5993	Seley	sj	64°58.669'	13°31.155'	64.97781	13.51925	18.0	Vegagerðin	1996	(null)
5994	Neskaupstaður - Bakkagil	sj	65°09.876'	13°40.003'	65.1646	13.66672	717.0	Veðurstofa Íslands - Ofanflóð	2023	(null)
6012	Surtsey	sj	63°17.958'	20°35.968'	63.2993	20.59947	36.0	Veðurstofa Íslands	2009	(null)
6015	Vestmannaeyjabær	sj	63°26.152'	20°16.547'	63.43587	20.27578	40.4	Veðurstofa Íslands	2002	(null)
6016	Vestmannaeyjar - hraun	sj	63°26.278'	20°14.599'	63.43797	20.24332	70.0	Veðurstofa Íslands	2002	2009
6017	Stórhöfði	sj	63°23.974'	20°17.295'	63.39957	20.28825	118.0	Veðurstofa Íslands	1997	(null)
6045	Vatnsskarðshólar	sj	63°25.416'	19°10.982'	63.4236	19.18303	20.0	Veðurstofa Íslands	2003	(null)
6049	Vík í Mýrdal	sj	63°25.345'	19°0.113'	63.42242	19.001883	63.0	Veðurstofa Íslands - Ofanflóð	2024	(null)
6072	Meðallandssandur	sj	63°29.232'	18°07.117'	63.4872	18.1186	(null)	Landsvirkjun	2013	2013
6121	Bakkaflugvöllur	sj	63°33.5'	20°08.7'	63.55833	20.145	13.7	Flugmálastjórn Íslands	2006	2006
6134	Önundarhorn	sj	63°31.450'	19°38.140'	63.5242	19.6357	12.0	Veðurstofa Íslands	2010	(null)
6176	Skarðsfjöruviti	sj	63°31.072'	17°58.711'	63.51787	17.97852	6.0	Vegagerðin	1994	(null)
6208	Þykkvibær	sj	63°44.865'	20°37.089'	63.74775	20.61815	10.0	Veðurstofa Íslands	1996	(null)
6222	Sámsstaðir	sj	63°44.122'	20°06.544'	63.73537	20.10907	90.0	Veðurstofa Íslands	2000	(null)
6235	Tindfjöll	sj	63°46.543'	19°40.639'	63.77572	19.67732	870.0	Veðurstofa Íslands	2005	(null)
6237	Básar á Goðalandi	sj	63°40.745'	19°28.883'	63.67908	19.48138	239.0	Veðurstofa Íslands	2008	(null)
6272	Kirkjubæjarklaustur - Stjórnarsandur	sj	63°47.583'	18°00.717'	63.79305	18.01195	22.0	Veðurstofa Íslands	2004	(null)
6300	Selfoss	sj	63°56.128'	20°58.240'	63.9355	20.97067	20.0	Veðurstofa Íslands	2019	(null)
6310	Kálfhóll	sj	63°57.767'	20°34.016'	63.96278	20.56693	52.0	Veðurstofa Íslands	2003	(null)
6315	Hella	sj	63°49.541'	20°21.923'	63.82568	20.36538	20.0	Veðurstofa Íslands	2006	(null)
6393	Skeiðarársandur	sj	63°54.204'	17°16.440'	63.9034	17.274	0.3	Veðurstofa Íslands	2013	(null)
6420	Árnes	sj	64°02.432'	20°15.125'	64.04053	20.25208	87.0	Veðurstofa Íslands	2003	(null)
6424	Mörk á Landi	sj	64°01.755'	20°01.136'	64.02925	20.01893	125.0	Veðurstofa Íslands	2008	(null)
6429	Þjófafoss	sj	64°02.499'	19°49.852'	64.04	19.83	(null)	Landsvirkjun	2013	2013
6430	Búrfell	sj	64°07.009'	19°44.692'	64.11682	19.744867	249.0	Landsvirkjun	1993	(null)
6438	Sultarfit	sj	64°09.558'	19°26.578'	64.16	19.44	(null)	Landsvirkjun	2013	2013
6459	Lónakvísl	sj	64°05.885'	18°36.844'	64.09808	18.614067	675.0	Landsvirkjun	1999	(null)
6472	Laufbali	sj	64°01.527'	18°07.185'	64.02545	18.11957	555.6	Veðurstofa Íslands	1993	(null)
6499	Skaftafell	sj	64°00.862'	16°58.327'	64.014366	16.97212	86.0	Veðurstofa Íslands	1995	(null)
6515	Hjarðarland	sj	64°15.052'	20°19.990'	64.25088	20.33125	88.0	Veðurstofa Íslands	2004	(null)
6534	Sandafell	sj	64°11.611'	19°36.062'	64.19	19.6	(null)	Landsvirkjun	2013	2013
6539	Búðarháls	sj	64°11.363'	19°25.692'	64.19	19.43	(null)	Landsvirkjun	2013	2013
6544	Þóristungur	sj	64°13.175'	19°12.656'	64.22	19.21	(null)	Landsvirkjun	2013	2013
6545	Vatnsfell I	sj	64°11.965'	19°01.816'	64.19942	19.03027	555.0	Veðurstofa Íslands	1999	2002
6546	Vatnsfell	sj	64°11.735'	19°02.800'	64.19558	19.04667	539.5	Landsvirkjun	2004	(null)
6657	Veiðivatnahraun	sj	64°23.706'	18°30.286'	64.3951	18.50477	647.0	Landsvirkjun	1993	(null)
6670	Jökulheimar	sj	64°18.977'	18°13.248'	64.316284	18.2208	726.0	Landsvirkjun	1993	(null)
